bird name,total missed,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Red Tailed Hawk,2025,0,0,1,2,1,1,2,1,0,0,0,0,0,3,0,2,1,0,1,1,0,0,1,0,1,1,0,2,0,8,0,12,6,7,10,5,6,0,4,4,2,1,0,3,0,4,9,0,1,5,3,14,7,2,3,5,5,6,14,2,8,6,5,0,0,1,1,0,5,3,0,1,8,0,2,2,5,2,1,0,1,1,2,1,4,0,1,1,2,1,4,7,1,1,2,0,2,1,2,4,2,1,2,0,2,0,1,1
House Sparrow,1893,0,2,0,0,0,0,1,0,0,3,0,0,3,3,0,4,3,0,2,0,5,1,1,0,1,0,0,1,1,1,2,0,0,2,5,2,2,0,1,0,0,0,24,5,0,4,3,4,1,0,1,2,1,3,5,1,0,8,2,11,2,2,4,2,2,5,0,12,1,2,0,6,7,0,5,1,2,0,1,2,2,0,0,0,0,0,0,1,1,1,1,2,0,12,0,7,2,15,0,2,5,1,2,2,5,6,0,4
Lapland Longspur,1840,3,0,2,1,0,0,1,0,0,0,1,0,0,3,2,0,8,1,1,0,5,0,1,0,1,2,1,3,2,3,1,3,0,2,9,0,2,0,1,1,6,1,25,0,1,9,1,16,2,1,0,1,3,2,4,5,1,8,6,2,0,2,1,4,2,9,0,1,2,1,4,0,4,1,2,0,3,0,1,1,2,2,2,0,1,0,0,1,0,3,1,3,0,0,0,1,1,20,2,1,1,0,3,2,1,1,1,1
Eastern Phoebe,1748,1,1,1,0,1,0,1,2,1,0,0,1,3,1,0,1,4,0,0,1,0,0,1,0,0,1,3,1,1,1,1,4,0,2,3,2,1,0,2,0,0,0,12,3,4,4,4,7,4,3,0,1,10,1,4,8,1,3,8,0,1,3,3,1,3,2,2,1,2,2,2,0,6,2,5,2,4,0,3,1,1,0,1,2,2,0,0,0,5,5,5,0,0,0,3,0,1,1,2,2,1,1,0,0,4,1,1,0
Baltimore Oriole,1674,2,2,0,0,0,0,0,5,1,1,0,1,1,0,0,2,3,0,0,3,0,1,0,1,1,8,0,4,1,0,1,3,0,1,1,0,0,1,0,0,2,0,8,0,4,3,3,1,0,3,2,1,4,1,5,1,0,1,0,4,3,3,2,2,5,0,1,1,0,0,0,2,0,1,1,2,1,0,1,1,1,1,0,2,1,1,0,0,1,2,3,2,0,0,1,0,3,35,1,1,1,1,6,1,2,1,0,0
American Crow,1584,1,0,0,0,1,1,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,1,2,0,1,3,2,1,5,15,0,0,0,2,1,0,0,21,4,4,4,2,5,1,1,2,4,2,0,1,4,0,4,8,5,3,3,4,3,2,0,0,1,0,0,1,1,8,0,2,1,1,0,1,1,1,0,1,1,0,0,0,1,0,3,1,1,0,1,1,1,2,1,0,0,1,1,3,0,3,0,0,3
Olive Sided Flycatcher,1562,0,0,0,2,0,0,1,3,1,0,1,1,1,2,0,2,0,0,1,0,0,2,1,2,0,0,2,2,0,1,3,1,4,6,2,1,2,0,2,6,0,0,4,0,3,2,11,6,0,1,0,1,10,1,0,7,3,4,3,3,4,1,9,3,11,2,0,8,1,0,1,1,11,0,0,0,2,3,0,1,0,0,1,1,3,0,1,3,2,1,4,1,0,0,4,1,1,0,3,4,0,1,2,0,3,1,1,2
Common Yellowthroat,1554,0,2,0,1,0,1,0,0,0,1,1,1,2,2,0,3,0,0,0,1,2,0,0,0,0,1,2,3,1,0,1,3,0,2,1,1,2,2,1,1,0,0,2,2,2,0,1,6,2,1,1,0,1,4,3,2,2,2,1,2,0,4,1,1,2,1,1,3,0,0,2,1,1,0,0,0,0,2,0,0,2,1,1,1,1,0,0,1,3,3,4,2,0,0,3,5,1,2,1,2,4,1,7,0,2,0,4,3
Red Throated Loon,1509,1,0,2,1,0,0,0,4,0,0,0,2,0,3,0,1,0,1,1,0,0,2,1,0,2,3,0,0,0,5,2,5,2,3,7,3,3,0,2,1,0,0,1,1,0,3,5,5,0,0,0,1,0,9,2,0,5,2,9,3,4,1,1,3,1,6,1,5,0,1,1,0,13,1,2,2,1,1,0,0,0,1,1,1,0,2,1,0,1,3,1,1,0,0,0,2,1,1,0,1,0,0,1,1,1,0,0,4
Chipping Sparrow,1504,1,0,1,1,0,0,2,0,0,0,0,3,0,1,1,1,1,0,2,0,1,1,0,0,0,0,0,8,0,4,1,0,0,3,0,0,0,0,0,0,2,0,0,1,2,5,0,3,1,5,0,2,1,1,0,0,1,2,1,1,1,3,3,0,1,0,1,1,1,2,0,0,2,0,2,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,2,2,1,2,0,3,0,2,2,2,0,1,2,0,3,3,0,1
