username#discrim,current streak,max streak
DataSpec#0660,39,39
judd.tastic [judy]#5096,25,52
User Unavailable,24,24
Chino#5376,17,33
Mark Rober#7094,17,17
LeoLion989#2837,17,47
drdolittleandthecat#0753,16,24
sanjananair#5793,16,47
kalidoscope#3988,15,15
Dead Fish#0650,13,13
IntricateOwl#3680,13,21
quack#6510,12,32
User Unavailable,10,10
sareneee#1677,10,10
steamed bun ~invasion~#3730,10,19
Hoatzin#4913,9,29
Adrian Maliackel#9414,9,17
mn27#6957,9,36
Bidoof#9603,9,20
Deeksha R#2591,8,30
team.quirky#8519,8,8
Kaela#3493,8,165
aqua dolphin#2892,8,14
kman1234t#0021,7,12
emilie#4058,7,23
swablu#7132,7,30
Cygnus#8556,7,32
FROG_OF_STEEL#7512,7,28
Maddie#5086,7,53
Nin#6104,7,24
RyeLeo#4997,7,7
Fossilsguy#6227,6,7
Water1556#4215,6,6
runzhou2004#8374,5,48
Kerbal Kosmonaut#3020,5,15
ßrëåd Гhîêf#1003,5,17
kingfisher#8439,5,29
lilyanne#9704,5,29
Squirrelperson#0782,5,28
quack#9819,5,24
Cramorant#8097,5,11
♡AsUkDzRsEkYz♡#4086,5,10
Camponotus#0167,5,22
pinnacleman2510#0890,5,5
pancakes#9702,5,19
Chromatic#9694,5,11
Turnips#4294,5,5
Linear#8272,4,9
twig#4682,4,48
karina#2986,4,5
kelloggstudent#7858,4,13
Apple#5564,4,27
welp#8312,4,4
TikTakeo#5630,4,21
Aaronk-47#2884,4,17
User Unavailable,4,4
Holfrisky#1534,4,14
Aiyan#6278,4,11
Nick Smirnov#9799,4,5
american woodglock#8685,4,44
The Awesome#8281,4,4
Kyky#4674,4,21
Jeri#3083,4,6
CB7#4960,4,11
Sniff some of this#4201,4,25
geneticpotato#4979,4,7
Meash#3016,4,36
koreankimbapkim#1055,4,32
ChoiChoi#4734,4,13
nadiaa#5589,4,89
tai yang#4480,4,34
mrv17#8618,4,5
Billy Bobson#1964,4,6
oh.neelie#5958,3,17
snowflake5603#9433,3,9
anserin#4050,3,3
VenomousLampshade#7438,3,10
Jolibee#6998,3,12
stuthi#5173,3,18
þêþ§ïLêþêþ#0936,3,4
AvianTrumpet#3434,3,19
Dakstar7#5050,3,11
frogsongs#3242,3,3
ng45678#6886,3,16
RobertYL#9626,3,51
TheOne&OnlyWaffle#0027,3,5
BlackHeart#2379,3,4
TrashPandaHath#7252,3,11
EraserBird#0520,3,9
smorgul#5059,3,3
abc123#3849,3,6
kc ☁#5957,3,17
MarioBM#3298,3,3
Kazumin#9520,3,24
