bird,amount seen
Bald Eagle,6526
Red Tailed Hawk,6496
Spotted Towhee,6468
American Crow,6431
Red Breasted Nuthatch,6348
Great Crested Flycatcher,6332
Mallard,6327
Tufted Titmouse,6326
Common Yellowthroat,6322
Black Capped Chickadee,6318
Chuck Will's Widow,6314
Blue Jay,6306
Northern Flicker,6301
Sora,6288
Trumpeter Swan,6272
Common Loon,6272
Baltimore Oriole,6257
Wood Thrush,6248
Western Meadowlark,6241
Belted Kingfisher,6240
Killdeer,6236
Laughing Gull,6235
Ruffed Grouse,6226
Wood Stork,6215
Northern Mockingbird,6213
Mourning Dove,6212
Northern Bobwhite,6204
Northern Cardinal,6199
Carolina Wren,6198
Red Winged Blackbird,6195
Barred Owl,6194
American Bittern,6164
Great Horned Owl,6150
American Robin,6149
Whooping Crane,6113
Black Billed Cuckoo,6112
Ruby Throated Hummingbird,6094
Double Crested Cormorant,5469
Cooper's Hawk,5416
Black Crowned Night Heron,5415
Yellow Rumped Warbler,5391
Northern Harrier,5391
Crested Caracara,5387
Common Raven,5387
American Kestrel,5385
Osprey,5380
Green Winged Teal,5365
Barn Swallow,5364
Dark Eyed Junco,5361
Steller's Jay,5353
Pied Billed Grebe,5352
Purple Martin,5350
Peregrine Falcon,5345
Anhinga,5337
Purple Gallinule,5336
Golden Eagle,5335
Roseate Spoonbill,5333
Lark Sparrow,5330
Black Billed Magpie,5330
Yellow Warbler,5327
Horned Lark,5323
Magnolia Warbler,5322
Common Ground Dove,5321
Canvasback,5317
Caspian Tern,5316
Ovenbird,5309
Black And White Warbler,5304
Black Tern,5303
Snow Goose,5301
Snowy Egret,5300
American Woodcock,5296
Cliff Swallow,5294
Pine Siskin,5292
Bobolink,5291
Ruddy Turnstone,5280
Olive Sided Flycatcher,5275
Canada Goose,5274
Cactus Wren,5271
Red Throated Loon,5270
Lapland Longspur,5266
Dunlin,5266
Black Chinned Sparrow,5264
White Breasted Nuthatch,5262
Warbling Vireo,5262
