command,amount used
check,773094
bird,490261
hint,101190
skip,38134
song,25004
race,15292
leaderboard,11730
race start,9436
userscore,6304
info,4161
race stop,2575
streak,2299
race view,2231
help,1615
session,1330
custom,840
score,604
missed,559
set,527
goatsucker,515
list,513
meme,481
stats,480
session edit,440
session start,430
session stop,346
streak leaderboard,326
wikipedia,321
invite,275
play,250
taxon,235
filters,228
send_as_bot,191
frequency,148
export,114
stop,104
ping,94
disconnect,85
ignore,73
cache,58
botinfo,58
correct,48
back,47
pause,44
forward,43
replay,41
leave,25
test,14
clean,10
ban,8
connect,7
unban,3
