Abert's Towhee,ABTO
Acadian Flycatcher,ACFL
Acorn Woodpecker,ACWO
African Silverbill,AFSI
Akekee,AKEK
Akiapolaau,AKIA
Akikiki,AKIK
Akohekohe,AKOH
Alder Flycatcher,ALFL
Aleutian Tern,ALTE
Allen's Hummingbird,ALHU
Altamira Oriole,ALOR
Amaui,OLOM
Amazon Kingfisher,AMKI
American Avocet,AMAV
American Bittern,AMBI
American Black Duck,ABDU
American Coot,AMCO
American Crow,AMCR
American Dipper,AMDI
American Flamingo,AMFL
American Golden-Plover,AGPL
American Goldfinch,AMGO
American Kestrel,AMKE
American Oystercatcher,AMOY
American Pipit,BBPI
American Redstart,AMRE
American Robin,ALRO
American Three-toed Woodpecker,TTWO
American Tree Sparrow,ATSP
American White Pelican,AWPE
American Wigeon,AMWI
American Woodcock,AMWO
Amethyst-throated Mountain-gem,ATHU
Ancient Murrelet,ANMU
Anhinga,ANHI
Anianiau,ANIA
Anna's Hummingbird,ANHU
Antillean Nighthawk,ANNI
Antillean Palm Swift,APSW
Apapane,APAP
Aplomado Falcon,APFA
Arctic Loon,BTDI
Arctic Tern,ARTE
Arctic Warbler,ARWA
Arizona Woodpecker,ARWO
Ash-throated Flycatcher,ATFL
Ashy Storm-Petrel,ASPE
Asian Brown Flycatcher,ABFL
Asian Rosy-Finch,ARFI
Atlantic Puffin,ATPU
Audubon's Oriole,AUOR
Audubon's Shearwater,AUSH
Aztec Thrush,AZTH
Bachman's Sparrow,BASP
Bachman's Warbler,BAWA
Bahama Mockingbird,BAMO
Bahama Swallow,BASW
Bahama Woodstar,BAHU
Baikal Teal,BATE
Baird's Sandpiper,BASA
Baird's Sparrow,BASP
Bald Eagle,BAEA
Baltimore Oriole,BAOR
Bananaquit,BANA
Band-rumped Storm-Petrel,MASP
Band-tailed Pigeon,NBTP
Bank Swallow,SAMA
Bar-tailed Godwit,BTGO
Bare-throated Tiger-Heron,BTTH
Barn Owl,CBOW
Barn Swallow,BASW
Barnacle Goose,BAGO
Barolo Shearwater,AUSH
Barred Owl,BAOW
Barrow's Goldeneye,BAGO
Bat Falcon,BAFA
Bay-breasted Warbler,BBWA
Belcher's Gull,BEGU
Bell's Sparrow,BESP
Bell's Vireo,BEVI
Belted Kingfisher,BEKI
Bendire's Thrasher,BETH
Bermuda Petrel,BEPE
Berylline Hummingbird,BEHU
Bewick's Wren,BEWR
Bicknell's Thrush,BITH
Bishop's Oo,BIOO
Black Francolin,BLFR
Black Guillemot,BLGU
Black Kite,BBKI
Black Mamo,BLMA
Black Noddy,BLNO
Black Oystercatcher,BLOY
Black Phoebe,BLPH
Black Rail,BLRA
Black Rosy-Finch,BRFI
Black Scoter,BLSC
Black Skimmer,BLSK
Black Storm-Petrel,BSPE
Black Swift,ABSW
Black Tern,BLTE
Black Turnstone,BLTU
Black Vulture,ABVU
Black-and-white Warbler,BAWW
Black-backed Oriole,BBOR
Black-backed Woodpecker,BBWO
Black-bellied Plover,GRPL
Black-bellied Storm-Petrel,BBSP
Black-bellied Whistling-Duck,BBWD
Black-billed Cuckoo,BBCU
Black-billed Magpie,AMMA
Black-browed Albatross,BBMO
Black-capped Chickadee,BCCH
Black-capped Gnatcatcher,BCGN
Black-capped Petrel,BCPE
Black-capped Vireo,BCVI
Black-chinned Hummingbird,BCHU
Black-chinned Sparrow,BCSP
Black-crested Titmouse,BCTI
Black-crowned Night-Heron,BCNH
Black-faced Grassquit,BFGR
Black-footed Albatross,BFAL
Black-headed Grosbeak,BHGR
Black-headed Gull,BHGU
Black-headed Nightingale-Thrush,BHNT
Black-legged Kittiwake,BLKI
Black-necked Stilt,BWST
Black-tailed Gnatcatcher,BTGN
Black-tailed Godwit,BTGO
Black-tailed Gull,BTGU
Black-throated Blue Warbler,BTBW
Black-throated Gray Warbler,BTGW
Black-throated Green Warbler,BTGW
Black-throated Sparrow,BTSP
Black-vented Oriole,BVOR
Black-vented Shearwater,BVSH
Black-whiskered Vireo,BWVI
Black-winged Petrel,BWPE
Black-winged Stilt,EBWS
Blackburnian Warbler,BLWA
Blackpoll Warbler,BLWA
Blue Bunting,BLBU
Blue Grosbeak,BLGR
Blue Jay,BLJA
Blue Mockingbird,BLMO
Blue-and-white Swallow,BAWS
Blue-footed Booby,BFBO
Blue-gray Gnatcatcher,BGGN
Blue-gray Noddy,BLNO
Blue-headed Vireo,BHVI
Blue-throated Mountain-gem,BTHU
Blue-winged Teal,BWTE
