Cygnus buccinator
Anas platyrhynchos
Bonasa umbellus
Colinus virginianus
Gavia immer
Botaurus lentiginosus
Haliaeetus leucocephalus
Buteo jamaicensis
Porzana carolina
Grus americana
Charadrius vociferus
Leucophaeus atricilla
Zenaida macroura
Coccyzus erythropthalmus
Bubo virginianus
Strix varia
Antrostomus carolinensis
Archilochus colubris
Megaceryle alcyon
Colaptes auratus
Myiarchus crinitus
Cyanocitta cristata
Corvus brachyrhynchos
Poecile atricapillus
Baeolophus bicolor
Sitta canadensis
Thryothorus ludovicianus
Hylocichla mustelina
Turdus migratorius
Mimus polyglottos
Geothlypis trichas
Pipilo maculatus
Cardinalis cardinalis
Agelaius phoeniceus
Sturnella neglecta
Icterus galbula
