Dendrocygna autumnalis
Anser caerulescens
Branta canadensis
Cygnus buccinator
Aix sponsa
Anas platyrhynchos
Spatula clypeata
Anas carolinensis
Aythya valisineria
Lophodytes cucullatus
Phasianus colchicus
Bonasa umbellus
Meleagris gallopavo
Colinus virginianus
Gavia stellata
Gavia immer
Podilymbus podiceps
Podiceps grisegena
Phoebastria immutabilis
Fulmarus glacialis
Pelecanus erythrorhynchos
Botaurus lentiginosus
Ardea herodias
Egretta thula
Butorides virescens
Nycticorax nycticorax
Platalea ajaja
Phalacrocorax auritus
Anhinga anhinga
Fregata magnificens
Mycteria americana
Caracara cheriway
Falco sparverius
Falco peregrinus
Pandion haliaetus
Haliaeetus leucocephalus
Circus hudsonius
Accipiter cooperii
Buteo jamaicensis
Aquila chrysaetos
Cathartes aura
Gymnogyps californianus
Rallus crepitans
Porzana carolina
Porphyrio martinicus
Fulica americana
Grus americana
Pluvialis dominica
Charadrius vociferus
Haematopus palliatus
Himantopus mexicanus
Recurvirostra americana
Actitis macularius
Arenaria interpres
Calidris alpina
Gallinago delicata
Scolopax minor
Leucophaeus atricilla
Larus delawarensis
Larus argentatus
Sternula antillarum
Hydroprogne caspia
Chlidonias niger
Rynchops niger
Uria aalge
Fratercula cirrhata
Zenaida macroura
Columbina passerina
Columba livia
Coccyzus erythropthalmus
Geococcyx californianus
Tyto alba
Bubo virginianus
Bubo scandiacus
Strix varia
Megascops asio
Antrostomus carolinensis
Chordeiles minor
Chaetura pelagica
Archilochus colubris
Megaceryle alcyon
Melanerpes erythrocephalus
Sphyrapicus varius
Dryobates pubescens
Colaptes auratus
Dryocopus pileatus
Contopus cooperi
Sayornis phoebe
Pyrocephalus obscurus
Myiarchus crinitus
Tyrannus tyrannus
Tyrannus forficatus
Lanius ludovicianus
Vireo gilvus
Vireo olivaceus
Cyanocitta stelleri
Cyanocitta cristata
Pica hudsonia
Corvus brachyrhynchos
Corvus corax
Eremophila alpestris
Progne subis
Petrochelidon pyrrhonota
Hirundo rustica
Poecile atricapillus
Baeolophus bicolor
Sitta canadensis
Sitta carolinensis
Certhia americana
Campylorhynchus brunneicapillus
Cistothorus palustris
Thryothorus ludovicianus
Cinclus mexicanus
Regulus satrapa
Regulus calendula
Polioptila caerulea
Sialia sialis
Hylocichla mustelina
Turdus migratorius
Dumetella carolinensis
Mimus polyglottos
Toxostoma rufum
Bombycilla cedrorum
Setophaga petechia
Setophaga magnolia
Setophaga coronata
Setophaga virens
Mniotilta varia
Setophaga ruticilla
Seiurus aurocapilla
Geothlypis formosa
Geothlypis trichas
Pipilo maculatus
Spizella atrogularis
Chondestes grammacus
Zonotrichia querula
Zonotrichia leucophrys
Spizella passerina
Junco hyemalis
Calcarius lapponicus
Plectrophenax nivalis
Cardinalis cardinalis
Passerina cyanea
Passerina ciris
Piranga olivacea
Dolichonyx oryzivorus
Agelaius phoeniceus
Sturnella neglecta
Xanthocephalus xanthocephalus
Quiscalus quiscula
Molothrus ater
Icterus galbula
Loxia curvirostra
Spinus tristis
Coccothraustes vespertinus
Haemorhous mexicanus
Spinus pinus
Passer domesticus
Sturnus vulgaris
