Dendrocygna autumnalis
Chen caerulescens
Branta canadensis
Cygnus buccinators
Aix sponsa
Anas platyrhynchos
Anas cyanoptera
Anas clypeata
Anas crecca
Aythya valisineria
Somateria mollissima
Melanitta perspicillata
Clangula hyemalis
Lophodytes cucullatus
Phasianus colchicus
Bonasa umbellus
Tympanuchus cupido
Meleagris gallopavo
Colinus viginianus
Gavia stellata
Gavia immer
Podilymbus podiceps
Podiceps grisegena
Phoebastria immutabilis
Phoebastria nigripes
Fulmarus glacialis
Puffinus creatopus
Pelecanus erythrorhynchos
Phalacrocorax auritus
Anhinga anhinga
Fregata magnificens
Botaurus lentiginosus
Ardea herodias
Egretta thula
Butorides virescens
Nycticorax nycticorax
Platalea ajaja
Cathartes aura
Gymnogyps californianus
Pandion haliaetus
Haliaeetus leucocephalus
Circus cyaneus
Accipiter cooperii
Buteo swainsoni
Buteo jamaicensis
Aquila chrysaetos
Caracara cheriway
Falco sparverius
Falco peregrinus
Rallus longirostris
Porzana carolina
Porphyrio martinica
Fulica americana
Grus americana
Pluvialis dominica
Charadrius nivosus
Charadrius vociferus
Haematopus palliatus
Himantopus mexicanus
Recurvirostra americana
Jacana spinosa
Bartramia longicauda
Arenaria interpres
Calidris alpina
Gallinago delicata
Scolopax minor
Phalaropus tricolor
Leucophaeus atricilla
Larus californicus
Larus argentatus
Larus marinus
Sternula antillarum
Hydroprogne caspia
Chlidonias niger
Rynchops niger
Stercorarius pomarinus
Uria aalge
Cepphus grylle
Brachyramphus marmoratus
Fratercula cirrhata
Zenaida asiatica
Zenaida macroura
Columbina inca
Columbina passerina
Coccyzus erythropthalmus
Geococcyx californianus
Tyto alba
Bubo virginianus
Bubo scandiacus
Strix varia
Strix nebulosa
Asio otus
Nyctidromus albicollis
Caprimulgus carolinensis
Caprimulgus vociferus
Chaetura pelagica
Lampornis clemenciae
Archilochus colubris
Trogon elegans
Megaceryle alcyon
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes aurifrons
Sphyrapicus varius
Picoides pubescens
Colaptes auratus
Dryocopus pileatus
Contopus cooperi
Sayornis nigricans
Sayornis phoebe
Pyrocephalus rubinus
Myiarchus crinitus
Tyrannus verticalis
Tyrannus forficatus
Lanius ludovicianus
Vireo gilvus
Vireo olivaceus
Cyanocitta stelleri
Cyanocitta cristata
Nucifraga columbiana
Pica hudsonia
Corvus brachyrhynchos
Corvus corax
Eremophila alpestris
Progne subis
Petrochelidon pyrrhonota
Hirundo rustica
Poecile carolinensis
Poecile gambeli
Baeolophus bicolor
Sitta canadensis
Sitta carolinensis
Certhia americana
Campylorhynchus brunneicapillus
Catherpes mexicanus
Thryothorus ludovicianus
Cinclus mexicanus
Regulus satrapa
Regulus calendula
Polioptila caerulea
Sialia sialis
Hylocichla mustelina
Turdus migratorius
Dumetella carolinensis
Mimus polyglottos
Toxostoma rufum
Toxostoma curvirostre
Bombycilla cedrorum
Phainopepla nitens
Dendroica petechia
Dendroica magnolia
Dendroica coronata
Dendroica virens
Mniotilta varia
Setophaga ruticilla
Seiurus aurocapilla
Seiurus motacilla
Oporornis formosus
Geothlypis trichas
Icteria virens
Piranga olivacea
Pipilo maculatus
Spizella atrogularis
Chondestes grammacus
Calamospiza melanocorys
Zonotrichia querula
Zonotrichia leucophrys
Junco hyemalis
Calcarius lapponicus
Plectrophenax nivalis
Cardinalis cardinalis
Pheucticus ludovicianus
Passerina cyanea
Passerina ciris
Dolichonyx oryzivorus
Agelaius phoeniceus
Sturnella neglecta
Xanthocephalus xanthocephalus
Quiscalus quiscula
Molothrus ater
Icterus galbula
Loxia curvirostra
Carduelis tristis
Coccothraustes vespertinus
