Cygnus buccinators
Anas platyrhynchos
Bonasa umbellus
Tympanuchus cupido
Colinus virginianus
Gavia stellata
Botaurus lentiginosus
Haliaeetus leucocephalus
Buteo jamaicensis
Porzana carolina
Grus americana
Charadrius vociferus
Bartramia longicauda
Zenaida asiatica
Zenaida macroura
Coccyzus erythropthalmus
Geococcyx californianus
Bubo virginianus
Strix varia
Nyctidromus albicollis
Caprimulgus carolinensis
Caprimulgus vociferus
Megaceryle alcyon
Contopus cooperi
Myiarchus crinitus
Tyrannus verticalis
Vireo gilvus
Vireo olivaceus
Cyanocitta cristata
Corvus brachyrhynchos
Corvus corax
Poecile carolinensis
Baeolophus bicolor
Sitta canadensis
Catherpes mexicanus
Hylocichla mustelina
Turdus migratorius
Mimus polyglottos
Toxostoma rufum
Geothlypis formosa
Icteria virens
Pipilo maculatus
Zonotrichia querula
Cardinalis cardinalis
Passerina cyanea
Agelaius phoeniceus
Sturnella neglecta
Icterus galbula
